iter	Passed	Remaining
0	8	8515
1	15	7507
2	21	7041
3	26	6696
4	32	6526
5	38	6399
6	44	6285
7	50	6204
8	55	6122
9	61	6100
10	67	6043
11	72	6000
12	78	5953
13	84	5925
14	90	5914
15	95	5887
16	101	5864
17	107	5863
18	113	5835
19	118	5816
20	124	5787
21	130	5787
22	136	5788
23	141	5763
24	147	5736
25	152	5729
26	158	5717
27	163	5692
28	170	5717
29	176	5699
30	181	5685
31	187	5659
32	192	5642
33	198	5629
34	203	5607
35	208	5582
36	213	5560
37	218	5533
38	223	5504
39	228	5475
40	232	5448
41	237	5425
42	242	5403
43	247	5374
44	251	5334
45	255	5306
46	260	5281
47	265	5256
48	269	5235
49	273	5199
50	278	5173
51	282	5148
52	286	5125
53	291	5103
54	295	5081
55	299	5051
56	304	5030
57	308	5008
58	312	4976
59	316	4952
60	320	4926
61	324	4904
62	328	4885
63	332	4856
64	336	4835
65	340	4817
66	344	4793
67	347	4768
68	351	4745
69	355	4724
70	359	4702
71	363	4680
72	367	4662
73	370	4639
74	374	4616
75	377	4591
76	381	4568
77	384	4545
78	387	4523
79	391	4503
80	395	4483
81	398	4463
82	402	4442
83	405	4422
84	408	4401
85	412	4381
86	415	4361
87	419	4349
88	426	4367
89	433	4380
90	440	4398
91	444	4383
92	449	4388
93	455	4386
94	458	4369
95	464	4372
96	469	4372
97	476	4385
98	483	4401
99	487	4384
100	490	4365
101	493	4347
102	497	4331
103	500	4314
104	504	4297
105	507	4281
106	511	4265
107	514	4249
108	518	4234
109	521	4221
110	525	4207
111	528	4190
112	531	4175
113	535	4160
114	538	4146
115	542	4131
116	545	4117
117	549	4103
118	552	4089
119	555	4075
120	559	4061
121	562	4048
122	565	4035
123	569	4024
124	573	4011
125	576	3998
126	579	3986
127	583	3975
128	587	3966
129	591	3955
130	594	3944
131	598	3933
132	601	3921
133	604	3909
134	608	3898
135	611	3887
136	615	3876
137	618	3865
138	622	3853
139	625	3843
140	629	3832
141	632	3821
142	635	3810
143	639	3801
144	642	3790
145	646	3779
146	649	3768
147	652	3758
148	656	3749
149	660	3740
150	663	3730
151	667	3721
152	670	3711
153	673	3701
154	677	3691
155	680	3682
156	683	3672
157	687	3664
158	691	3655
159	694	3645
160	697	3635
161	701	3626
162	704	3618
163	708	3609
164	711	3601
165	714	3592
166	718	3582
167	721	3575
168	725	3567
169	729	3560
170	732	3552
171	736	3544
172	739	3535
173	742	3527
174	746	3518
175	749	3510
176	753	3502
177	756	3495
178	760	3487
179	763	3479
180	768	3475
181	771	3468
182	775	3460
183	778	3452
184	782	3445
185	785	3437
186	788	3430
187	792	3422
188	795	3415
189	799	3407
190	802	3400
191	806	3393
192	810	3387
193	813	3380
194	817	3373
195	820	3366
196	824	3359
197	827	3353
198	831	3347
199	835	3340
200	838	3333
201	841	3326
202	845	3318
203	848	3311
204	852	3304
205	855	3298
206	859	3291
207	863	3286
208	866	3279
209	870	3273
210	873	3267
211	877	3260
212	880	3254
213	884	3247
214	887	3240
215	890	3233
216	894	3227
217	897	3220
218	901	3214
219	904	3207
220	908	3201
221	911	3196
222	915	3190
223	919	3184
224	922	3178
225	926	3172
226	929	3166
227	933	3160
228	936	3154
229	940	3148
230	943	3141
231	947	3135
232	950	3129
233	953	3122
234	957	3116
235	960	3110
236	964	3105
237	967	3099
238	971	3092
239	974	3086
240	978	3080
241	981	3074
242	985	3069
243	988	3064
244	992	3058
245	996	3053
246	999	3046
247	1002	3040
248	1006	3035
249	1010	3030
250	1013	3024
251	1017	3018
252	1020	3013
253	1024	3007
254	1027	3001
255	1030	2995
256	1034	2990
257	1037	2984
258	1041	2979
259	1044	2973
260	1048	2968
261	1051	2963
262	1055	2957
263	1058	2951
264	1061	2945
265	1065	2939
266	1068	2934
267	1072	2928
268	1075	2922
269	1079	2917
270	1082	2911
271	1085	2906
272	1089	2901
273	1092	2895
274	1096	2890
275	1100	2886
276	1103	2880
277	1106	2875
278	1110	2869
279	1113	2864
280	1117	2858
281	1120	2853
282	1124	2849
283	1127	2843
284	1131	2838
285	1134	2833
286	1138	2828
287	1141	2822
288	1145	2817
289	1148	2812
290	1152	2807
291	1155	2802
292	1159	2797
293	1162	2792
294	1166	2786
295	1169	2781
296	1172	2775
297	1176	2771
298	1180	2766
299	1183	2761
300	1187	2756
301	1190	2751
302	1193	2746
303	1197	2741
304	1200	2736
305	1204	2731
306	1207	2726
307	1210	2720
308	1214	2715
309	1217	2710
310	1221	2705
311	1224	2700
312	1228	2695
313	1231	2690
314	1235	2685
315	1238	2680
316	1241	2675
317	1245	2670
318	1248	2666
319	1252	2661
320	1255	2656
321	1259	2651
322	1262	2646
323	1266	2641
324	1269	2636
325	1272	2631
326	1276	2627
327	1279	2621
328	1283	2617
329	1286	2612
330	1290	2607
331	1293	2602
332	1297	2598
333	1300	2593
334	1304	2588
335	1307	2583
336	1310	2578
337	1314	2574
338	1317	2569
339	1321	2564
340	1324	2559
341	1327	2554
342	1331	2549
343	1334	2544
344	1337	2540
345	1341	2535
346	1344	2530
347	1348	2526
348	1351	2521
349	1354	2516
350	1358	2511
351	1361	2506
352	1365	2502
353	1369	2498
354	1372	2493
355	1375	2489
356	1379	2484
357	1382	2479
358	1386	2475
359	1389	2470
360	1393	2465
361	1396	2461
362	1400	2456
363	1403	2452
364	1406	2447
365	1410	2442
366	1413	2438
367	1417	2433
368	1420	2429
369	1424	2424
370	1427	2420
371	1430	2415
372	1434	2411
373	1437	2406
374	1441	2402
375	1444	2397
376	1448	2393
377	1451	2388
378	1455	2384
379	1458	2379
380	1462	2375
381	1466	2371
382	1469	2367
383	1472	2362
384	1476	2358
385	1479	2353
386	1483	2349
387	1486	2344
388	1490	2340
389	1493	2336
390	1497	2332
391	1500	2327
392	1504	2323
393	1507	2319
394	1511	2314
395	1514	2310
396	1517	2305
397	1521	2301
398	1525	2297
399	1528	2292
400	1531	2288
401	1535	2283
402	1538	2279
403	1541	2274
404	1545	2270
405	1548	2266
406	1552	2261
407	1555	2257
408	1559	2253
409	1562	2248
410	1566	2244
411	1569	2239
412	1572	2235
413	1576	2231
414	1579	2226
415	1583	2222
416	1586	2218
417	1590	2213
418	1593	2209
419	1596	2205
